                                Table  Records
            biological_marking_system       26
                       cell_phenotype        4
             cell_phenotype_criterion       27
                     chemical_species       26
                  data_analysis_study        1
                            data_file        7
                            diagnosis        2
       diagnostic_selection_criterion        0
            expression_quantification    18200
                feature_specification     2700
                    feature_specifier     8100
               histological_structure      700
histological_structure_identification      700
         histology_assessment_process        7
   plane_coordinates_reference_system        0
           quantitative_feature_value    15930
                           shape_file      700
          specimen_collection_process        7
            specimen_collection_study        1
    specimen_data_measurement_process        7
           specimen_measurement_study        1
                              subject        2
  two_cohort_feature_association_test        0
